NAME,B01003_001E,B06011_001E,state,county,year
"Aleutians West Census Area, Alaska",5708,43162,02,016,2020
"Anchorage Municipality, Alaska",292090,39063,02,020,2020
"Bristol Bay Borough, Alaska",739,43015,02,060,2020
"Chugach Census Area, Alaska",6495,38289,02,063,2020
"Denali Borough, Alaska",2502,25640,02,068,2020
"Dillingham Census Area, Alaska",4934,23157,02,070,2020
"Haines Borough, Alaska",2547,33500,02,100,2020
"Hoonah-Angoon Census Area, Alaska",2135,30000,02,105,2020
"Kenai Peninsula Borough, Alaska",58809,31615,02,122,2020
"Ketchikan Gateway Borough, Alaska",13833,36494,02,130,2020
"Kusilvak Census Area, Alaska",8298,12045,02,158,2020
"Matanuska-Susitna Borough, Alaska",107360,30508,02,170,2020
"Nome Census Area, Alaska",10009,22015,02,180,2020
"Northwest Arctic Borough, Alaska",7709,20581,02,188,2020
"Petersburg Borough, Alaska",3278,26401,02,195,2020
"Sitka City and Borough, Alaska",8569,41174,02,220,2020
"Skagway Municipality, Alaska",1300,36071,02,230,2020
"Wrangell City and Borough, Alaska",2510,30054,02,275,2020
"Yakutat City and Borough, Alaska",597,31282,02,282,2020
"Yukon-Koyukuk Census Area, Alaska",5305,20271,02,290,2020
"Aleutians East Borough, Alaska",3389,31460,02,013,2020
"Bethel Census Area, Alaska",18263,14993,02,050,2020
"Copper River Census Area, Alaska",2894,32632,02,066,2020
"Fairbanks North Star Borough, Alaska",98455,37073,02,090,2020
"Juneau City and Borough, Alaska",32099,43202,02,110,2020
"Kodiak Island Borough, Alaska",13383,32014,02,150,2020
"Lake and Peninsula Borough, Alaska",1156,22043,02,164,2020
"North Slope Borough, Alaska",9375,49266,02,185,2020
"Prince of Wales-Hyder Census Area, Alaska",6338,24867,02,198,2020
"Southeast Fairbanks Census Area, Alaska",6911,26436,02,240,2020
"Aleutians East Borough, Alaska",3409,31240,02,013,2021
"Aleutians West Census Area, Alaska",5251,36282,02,016,2021
"Anchorage Municipality, Alaska",292545,40966,02,020,2021
"Bethel Census Area, Alaska",18514,15096,02,050,2021
"Bristol Bay Borough, Alaska",849,41765,02,060,2021
"Chugach Census Area, Alaska",7015,39669,02,063,2021
"Copper River Census Area, Alaska",2635,29365,02,066,2021
"Denali Borough, Alaska",2187,26440,02,068,2021
"Dillingham Census Area, Alaska",4899,23846,02,070,2021
"Fairbanks North Star Borough, Alaska",97149,38846,02,090,2021
"Haines Borough, Alaska",2098,26008,02,100,2021
"Hoonah-Angoon Census Area, Alaska",2327,28400,02,105,2021
"Juneau City and Borough, Alaska",32240,45148,02,110,2021
"Kenai Peninsula Borough, Alaska",58711,34121,02,122,2021
"Ketchikan Gateway Borough, Alaska",13939,38413,02,130,2021
"Kodiak Island Borough, Alaska",13218,35213,02,150,2021
"Kusilvak Census Area, Alaska",8354,12495,02,158,2021
"Lake and Peninsula Borough, Alaska",986,26397,02,164,2021
"Matanuska-Susitna Borough, Alaska",106807,35563,02,170,2021
"Nome Census Area, Alaska",10070,22024,02,180,2021
"North Slope Borough, Alaska",10865,50156,02,185,2021
"Northwest Arctic Borough, Alaska",7776,21361,02,188,2021
"Petersburg Borough, Alaska",3368,28625,02,195,2021
"Prince of Wales-Hyder Census Area, Alaska",5886,26943,02,198,2021
"Sitka City and Borough, Alaska",8518,40042,02,220,2021
"Skagway Municipality, Alaska",1329,36129,02,230,2021
"Southeast Fairbanks Census Area, Alaska",6849,26966,02,240,2021
"Wrangell City and Borough, Alaska",2162,29583,02,275,2021
"Yakutat City and Borough, Alaska",562,34042,02,282,2021
"Yukon-Koyukuk Census Area, Alaska",5433,21303,02,290,2021
"Aleutians East Borough, Alaska",3407,33896,02,013,2022
"Aleutians West Census Area, Alaska",5219,43366,02,016,2022
"Anchorage Municipality, Alaska",290674,44462,02,020,2022
"Bethel Census Area, Alaska",18538,18374,02,050,2022
"Bristol Bay Borough, Alaska",854,45515,02,060,2022
"Chugach Census Area, Alaska",7000,45441,02,063,2022
"Copper River Census Area, Alaska",2614,36402,02,066,2022
"Denali Borough, Alaska",2101,53750,02,068,2022
"Dillingham Census Area, Alaska",4854,27980,02,070,2022
"Fairbanks North Star Borough, Alaska",96299,42732,02,090,2022
"Haines Borough, Alaska",2079,33266,02,100,2022
"Hoonah-Angoon Census Area, Alaska",2329,29454,02,105,2022
"Juneau City and Borough, Alaska",32108,48897,02,110,2022
"Kenai Peninsula Borough, Alaska",59235,37552,02,122,2022
"Ketchikan Gateway Borough, Alaska",13910,41573,02,130,2022
"Kodiak Island Borough, Alaska",13065,38343,02,150,2022
"Kusilvak Census Area, Alaska",8372,14501,02,158,2022
"Lake and Peninsula Borough, Alaska",999,30800,02,164,2022
"Matanuska-Susitna Borough, Alaska",108661,39219,02,170,2022
"Nome Census Area, Alaska",10018,24342,02,180,2022
"North Slope Borough, Alaska",10924,59845,02,185,2022
"Northwest Arctic Borough, Alaska",7682,24518,02,188,2022
"Petersburg Borough, Alaska",3374,29653,02,195,2022
"Prince of Wales-Hyder Census Area, Alaska",5799,31079,02,198,2022
"Sitka City and Borough, Alaska",8462,44701,02,220,2022
"Skagway Municipality, Alaska",1303,41300,02,230,2022
"Southeast Fairbanks Census Area, Alaska",6888,31187,02,240,2022
"Wrangell City and Borough, Alaska",2134,33806,02,275,2022
"Yakutat City and Borough, Alaska",564,37365,02,282,2022
"Yukon-Koyukuk Census Area, Alaska",5355,24581,02,290,2022
